year,month,month,quater,cases,population,rate/(10000)
2017,1,Mueang Phayao,Q1,0,44894,0
2017,2,Mueang Phayao,Q1,0,44894,0
2017,3,Mueang Phayao,Q1,0,44862,0
2017,4,Mueang Phayao,Q2,3,44878,0.668478987
2017,5,Mueang Phayao,Q2,14,44867,3.12033343
2017,6,Mueang Phayao,Q2,7,44836,1.561245428
2017,7,Mueang Phayao,Q3,5,44828,1.11537432
2017,8,Mueang Phayao,Q3,1,44820,0.223114681
2017,9,Mueang Phayao,Q3,1,44821,0.223109703
2017,10,Mueang Phayao,Q4,2,44817,0.446259232
2017,11,Mueang Phayao,Q4,0,44813,0
2017,12,Mueang Phayao,Q4,0,44801,0
2018,1,Mueang Phayao,Q1,0,44801,0
2018,2,Mueang Phayao,Q1,0,44782,0
2018,3,Mueang Phayao,Q1,0,44757,0
2018,4,Mueang Phayao,Q2,1,44719,0.223618596
2018,5,Mueang Phayao,Q2,1,44688,0.22377372
2018,6,Mueang Phayao,Q2,12,44680,2.685765443
2018,7,Mueang Phayao,Q3,7,44670,1.567047235
2018,8,Mueang Phayao,Q3,4,44672,0.895415473
2018,9,Mueang Phayao,Q3,2,44674,0.447687693
2018,10,Mueang Phayao,Q4,0,44664,0
2018,11,Mueang Phayao,Q4,0,44584,0
2018,12,Mueang Phayao,Q4,1,44570,0.224366166
2019,1,Mueang Phayao,Q1,0,44562,0
2019,2,Mueang Phayao,Q1,0,44546,0
2019,3,Mueang Phayao,Q1,0,44529,0
2019,4,Mueang Phayao,Q2,1,44517,0.224633286
2019,5,Mueang Phayao,Q2,3,44483,0.674414945
2019,6,Mueang Phayao,Q2,4,44478,0.899321013
2019,7,Mueang Phayao,Q3,16,44425,3.601575689
2019,8,Mueang Phayao,Q3,38,44399,8.558751323
2019,9,Mueang Phayao,Q3,8,44366,1.803182617
2019,10,Mueang Phayao,Q4,6,44347,1.352966379
2019,11,Mueang Phayao,Q4,3,44312,0.677017512
2019,12,Mueang Phayao,Q4,0,44271,0
2020,1,Mueang Phayao,Q1,0,44248,0
2020,2,Mueang Phayao,Q1,0,44226,0
2020,3,Mueang Phayao,Q1,0,44224,0
2020,4,Mueang Phayao,Q2,1,44209,0.226198285
2020,5,Mueang Phayao,Q2,3,44210,0.678579507
2020,6,Mueang Phayao,Q2,34,44207,7.691089646
2020,7,Mueang Phayao,Q3,43,44208,9.72674629
2020,8,Mueang Phayao,Q3,31,44175,7.01754386
2020,9,Mueang Phayao,Q3,3,43513,0.68944913
2020,10,Mueang Phayao,Q4,3,43484,0.689908932
2020,11,Mueang Phayao,Q4,0,43491,0
2020,12,Mueang Phayao,Q4,1,43480,0.2299908
2021,1,Mueang Phayao,Q1,0,43434,0
2021,2,Mueang Phayao,Q1,0,43395,0
2021,3,Mueang Phayao,Q1,2,43347,0.461392945
2021,4,Mueang Phayao,Q2,0,43319,0
2021,5,Mueang Phayao,Q2,0,43349,0
2021,6,Mueang Phayao,Q2,0,43373,0
2021,7,Mueang Phayao,Q3,0,43333,0
2021,8,Mueang Phayao,Q3,0,43289,0
2021,9,Mueang Phayao,Q3,0,43273,0
2021,10,Mueang Phayao,Q4,0,43250,0
2021,11,Mueang Phayao,Q4,0,43221,0
2021,12,Mueang Phayao,Q4,0,43184,0
2022,1,Mueang Phayao,Q1,0,43161,0
2022,2,Mueang Phayao,Q1,0,43165,0
2022,3,Mueang Phayao,Q1,3,43164,0.695023631
2022,4,Mueang Phayao,Q2,0,43139,0
2022,5,Mueang Phayao,Q2,10,43108,2.319755034
2022,6,Mueang Phayao,Q2,23,43102,5.336179296
2022,7,Mueang Phayao,Q3,8,43086,1.856751613
2022,8,Mueang Phayao,Q3,4,43047,0.929216902
2022,9,Mueang Phayao,Q3,2,43029,0.464802807
2022,10,Mueang Phayao,Q4,2,43027,0.464824413
2022,11,Mueang Phayao,Q4,1,42967,0.232736751
2022,12,Mueang Phayao,Q4,1,42938,0.23289394
2023,1,Mueang Phayao,Q1,6,42916,1.39807997
2023,2,Mueang Phayao,Q1,8,42930,1.863498719
2023,3,Mueang Phayao,Q1,3,42929,0.698828298
2023,4,Mueang Phayao,Q2,7,42915,1.631131306
2023,5,Mueang Phayao,Q2,15,42888,3.497481813
2023,6,Mueang Phayao,Q2,34,42878,7.929474322
2023,7,Mueang Phayao,Q3,28,42855,6.533660016
2023,8,Mueang Phayao,Q3,50,42827,11.674878
2023,9,Mueang Phayao,Q3,26,42798,6.075050236
2023,10,Mueang Phayao,Q4,21,42768,4.910213244
2023,11,Mueang Phayao,Q4,11,42723,2.574725558
